Capitol Limited,5.3,,12.3,,(7.0),50.5,38.1 21.9,57%,35.7%,0.2,238.0
California Zephyr,16.1,,37.4,,(21.3),97.5,132.5 65.1,47%,43.7%,0.6,258.0
Southwest Chief,12.8,,31.8,,(19.0),68.9,117.4 59.4,50%,46.1%,0.5,236.0
City of New Orleans,4.6,,13.0,,(8.4),51.8,50.9 19.9,36%,76.6%,0.2,238.0
Texas Eagle,7.1,,16.5,,(9.4),77.1,58.0 37.2,58%,67.7%,0.3,240.0
Sunset Limited,3.3,,15.6,,(12.3),22.3,52.6 16.3,31%,40.5%,0.2,103.0
Coast Starlight,13.2,,29.2,,(16.0),105.5,94.2 46.7,46%,54.9%,0.3,238.0
Lake Shore Limited,9.4,,22.0,,(12.7),101.3,80.8 40.8,46%,61.4%,0.3,460.0
Palmetto,6.9,,12.3,,(5.4),79.6,49.4 18.3,35%,73.0%,0.2,239.0
Crescent,9.3,,21.5,,(12.3),71.4,72.6 28.8,39%,56.4%,0.3,236.0
Auto Train,37.3,,29.4,,7.9,89.3,123.3 72.2,60%,25.9%,0.2,238.0
Long Distance Adjustments,0.0,,1.4,,(1.4),N/A,N/A N/A,N/A,N/A,N/A,N/A
Long Distance,$163.0,$,334.3,$,(171.3),"1,121.7","1,204.7 583.7",46%,50.8%,4.7,"3,727.0"
Ancillary,110.4,,108.5,,1.9,,,,,0.0,3.0
Infrastructure,84.2,,123.1,,(39.0),,,,,2.7,"212,509.6"
Amtrak,$847.1,$,"1,119.0",$,(271.9),"6,642.9","3,504.4 1,444.6",39%,75.6%,11.4,"31,023.4"
